date,close,volume,ticker
2020-06-30,4750.0,430793,228810.KS
2020-07-01,4665.0,71735,228810.KS
2020-07-02,4975.0,121416,228810.KS
2020-07-06,5145.0,318800,228810.KS
2020-07-07,5120.0,262754,228810.KS
2020-07-08,5295.0,395110,228810.KS
2020-07-09,5280.0,423524,228810.KS
2020-07-10,5250.0,271050,228810.KS
2020-07-13,5305.0,603371,228810.KS
2020-07-14,5375.0,593820,228810.KS
2020-07-15,5330.0,171195,228810.KS
2020-07-16,5285.0,136572,228810.KS
2020-07-17,5390.0,102409,228810.KS
2020-07-20,5335.0,123238,228810.KS
2020-07-21,5340.0,62541,228810.KS
2020-07-22,5225.0,420354,228810.KS
2020-07-23,5190.0,181298,228810.KS
2020-07-24,5110.0,61816,228810.KS
2020-07-27,5170.0,46302,228810.KS
2020-07-28,5195.0,79630,228810.KS
2020-07-29,5245.0,25824,228810.KS
2020-07-30,5165.0,83147,228810.KS
2020-07-31,5200.0,20406,228810.KS
